PDM well name,Well name,Start date,Stop date,1993-01-01-2005-07-01,2005-07-01-2007-07-01,2007-07-01-2009-07-01,2009-07-01-2011-07-02,2011-07-02-2013-07-02,2013-07-02-2014-09-15,2014-09-15-2015-05-15,2015-05-15-2015-09-15,2015-09-15-2016-05-15,2016-05-15-2016-09-15,2016-09-15-2017-05-15,2017-05-15-2017-09-15,2017-09-15-2018-05-15,2018-05-15-2018-09-15,2018-09-15-2019-05-15,2019-05-15-2019-09-15,2019-09-15-now,1993-01-01-now
NO 25/11-G-14,NO 25/11-G-14,2004-04-04,2018-12-12,5383071.8176,8359231.0,5185168.0,3507545.0,3127115.0,1372215.5,646599.06,0.0,0.0,0.0,0.0,0.0,2129.0,216.0,451.0,0.0,0.0,27583741.377600003
NO 25/11-G-23,NO 25/11-G-23,2003-10-19,2008-07-23,689913.1167241945,0.0,676841.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1366754.1167241945
NO 25/11-G-23 A,NO 25/11-G-23 A,2012-05-27,2020-02-25,0.0,0.0,0.0,0.0,9832.4,13978.5,14540.0,5616.5,4830.0,1367.5,2657.0,1522.0,3268.6,1086.5,2771.8,1358.0,685.0,63513.799999999996
NO 25/11-G-32,NO 25/11-G-32,2011-01-31,,0.0,0.0,0.0,536168.0,1814892.0,1059055.5799999998,634558.01,343969.37,205592.87,126224.75,11962.08,6770.410000000001,10003.35,6249.14,7512.6,1965.3799999999999,83142.98,4848066.52
NO 25/11-G-36,NO 25/11-G-36,2012-08-10,,0.0,0.0,0.0,0.0,2131432.0,2640863.21,1687227.57,960105.3300000001,1801611.16,1007253.9700000001,1961439.44,1030761.4900000001,1971060.4099999997,1008653.63,2029398.33,999967.82,1540403.6,20770177.96
