PDM well name,Well name,Start date,Stop date,1993-01-01-2005-07-01,2005-07-01-2007-07-01,2007-07-01-2009-07-01,2009-07-01-2011-07-02,2011-07-02-2013-07-02,2013-07-02-2014-09-15,2014-09-15-2015-05-15,2015-05-15-2015-09-15,2015-09-15-2016-05-15,2016-05-15-2016-09-15,2016-09-15-2017-05-15,2017-05-15-2017-09-15,2017-09-15-2018-05-15,2018-05-15-2018-09-15,2018-09-15-2019-05-15,2019-05-15-2019-09-15,2019-09-15-now,1993-01-01-now
NO 25/11-G-4,NO 25/11-G-4,2015-05-04,,0.0,0.0,0.0,0.0,0.0,0.0,25105286.58,275681731.83,583473736.5,275433416.8,570271459.79,297808706.84000003,557133670.9000001,300271197.3600001,553538630.1700001,251180888.51,403555888.97,4093454614.25
NO 25/11-G-19,NO 25/11-G-19,2004-04-04,2004-04-20,1447806.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1447806.0
NO 25/11-G-20 AT2,NO 25/11-G-20 A,2004-02-04,,925877840.0,2400431973.038,2596514893.0,2644869354.0,2146648709.0,1511754958.08,957136826.24,310089080.65,682870191.55,352932457.98,630211722.5900002,281595273.41,585996244.44,322415059.6,665782799.25,318360245.62999994,521015127.0,17854502755.458
NO 25/11-G-24 A,NO 25/11-G-24 A,2003-11-08,,2107993469.0,3546917297.14,3526517311.0,2978363087.0,1334186399.0,1294407879.65,1086550366.33,496522664.8299999,757427773.48,489114876.15000004,839454387.04,479438185.77,745620197.56,387995469.55,989429266.51,571758694.2500001,931934849.38,22563632173.64
NO 25/11-G-28,NO 25/11-G-28,2004-02-17,2004-02-23,635178.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,635178.0
