PDM well name,Well name,Start date,Stop date,1993-01-01-2005-07-01,2005-07-01-2007-07-01,2007-07-01-2009-07-01,2009-07-01-2011-07-02,2011-07-02-2013-07-02,2013-07-02-2014-09-15,2014-09-15-2015-05-15,2015-05-15-2015-09-15,2015-09-15-2016-05-15,2016-05-15-2016-09-15,2016-09-15-2017-05-15,2017-05-15-2017-09-15,2017-09-15-2018-05-15,2018-05-15-2018-09-15,2018-09-15-2019-05-15,2019-05-15-2019-09-15,2019-09-15-now,1993-01-01-now
NO 25/11-G-16 Y1,NO 25/11-G-16 Y,2008-11-17,2017-05-16,0.0,0.0,79071.0,185982.0,12223.0,1253.42,1355.51,282.94,333.52,88.28999999999999,471.86000000000007,13.09,0.0,0.0,0.0,0.0,0.0,281074.63
NO 25/11-G-17 CY2T4,NO 25/11-G-17 CY,2012-12-07,,0.0,0.0,0.0,0.0,35107.0,20626.699999999997,9504.880000000001,2670.4999999999995,6041.45,3704.4900000000002,5733.4400000000005,3614.29,5116.290000000001,1213.39,1359.1800000000003,1019.3000000000001,1084.06,96794.97
NO 25/11-G-17 T2,NO 25/11-G-17,2004-02-21,2012-04-12,471605.0,407816.0,40277.0,1912.0,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,922100.0
NO 25/11-G-18,NO 25/11-G-18,2003-12-11,2016-12-02,1241072.0,832998.0,24553.0,20082.0,215612.0,18119.54,2.69,0.0,1694.8199999999997,0.0,341.84000000000003,0.0,0.0,0.0,0.0,0.0,0.0,2354475.89
NO 25/11-G-18 AY1,NO 25/11-G-18 AY,2017-02-15,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97798.18,132605.92,111611.22,32910.51,31679.21,13012.54,9899.85,429517.43000000005
NO 25/11-G-19,NO 25/11-G-19,2004-02-24,2012-05-02,755264.0,456138.0,147670.0,15721.0,3091.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1377884.0
NO 25/11-G-19 EY1,NO 25/11-G-19 EY,2014-09-13,,0.0,0.0,0.0,0.0,0.0,1748.44,362539.33999999997,111542.66,73137.31999999999,42945.939999999995,31165.79,9546.239999999998,14872.78,6821.129999999999,8317.039999999999,3985.09,6434.51,673056.28
NO 25/11-G-20 AT2,NO 25/11-G-20 A,2004-02-06,2004-04-19,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
NO 25/11-G-21,NO 25/11-G-21,2004-01-19,2009-09-03,273243.0,294449.0,19140.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,586838.0
NO 25/11-G-21 BY1T4,NO 25/11-G-21 BY,2012-06-21,,0.0,0.0,0.0,0.0,475144.0,180045.21000000002,52058.59,25106.43,59617.84,28588.57,49313.61,14900.820000000002,28458.46,10276.359999999999,11766.41,2367.6800000000003,254.00000000000003,937897.98
NO 25/11-G-22,NO 25/11-G-22,2003-09-24,2015-12-04,406818.0,97023.0,19844.0,12080.0,6308.0,3728.04,1405.62,39.18,117.78,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,547363.62
NO 25/11-G-22 BY 1,NO 25/11-G-22 BY,2016-03-21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6926.360000000001,6779.859999999999,7751.449999999999,5394.53,6055.6,3848.6700000000005,3573.58,2476.5700000000006,2664.2100000000005,45470.83
NO 25/11-G-24 A,NO 25/11-G-24 A,2003-10-29,2003-10-29,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0
NO 25/11-G-25 AY1,NO 25/11-G-25 AY,2015-12-29,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339803.94000000006,344338.89,403532.35,237147.66999999998,395270.19,153970.28999999998,169459.39999999997,36845.719999999994,23297.03,2103665.48
NO 25/11-G-25 T2,NO 25/11-G-25,2004-02-10,2015-09-14,885826.0,966243.0,255987.0,83964.0,18199.0,2307.53,6.300000000000001,3.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2212536.26
NO 25/11-G-26,NO 25/11-G-26,2003-11-12,,228544.0,49917.0,17441.0,8197.0,3607.0,3030.6499999999996,2067.95,1120.29,1939.32,956.21,1259.67,390.26,1232.76,525.49,719.55,294.6,571.8,321814.55
NO 25/11-G-27 A,NO 25/11-G-27 A,2003-10-03,2017-05-20,592455.0,63325.0,19111.0,10627.0,2937.0,972.7299999999999,607.92,312.42999999999995,120.80000000000001,49.17000000000001,41.15,0.02,0.0,0.0,0.0,0.0,0.0,690559.22
NO 25/11-G-28,NO 25/11-G-28,2003-12-23,2020-02-21,111926.0,163436.0,29821.0,26284.0,32388.0,16466.37,12761.35,11782.0,10270.9,9183.48,10075.869999999999,57.839999999999996,19.34,0.02,12630.49,5327.839999999999,4775.94,457206.44
NO 25/11-G-29 Y2,NO 25/11-G-29 Y,2017-06-24,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1949.5900000000001,11576.92,6211.209999999999,4568.88,1106.9499999999998,4922.97,30336.520000000004
