PDM well name,Well name,Start date,Stop date,1993-01-01-2005-07-01,2005-07-01-2007-07-01,2007-07-01-2009-07-01,2009-07-01-2011-07-02,2011-07-02-2013-07-02,2013-07-02-2014-09-15,2014-09-15-2015-05-15,2015-05-15-2015-09-15,2015-09-15-2016-05-15,2016-05-15-2016-09-15,2016-09-15-2017-05-15,2017-05-15-2017-09-15,2017-09-15-2018-05-15,2018-05-15-2018-09-15,2018-09-15-2019-05-15,2019-05-15-2019-09-15,2019-09-15-now,1993-01-01-now
NO 25/11-G-13 Y1,NO 25/11-G-13 Y,2009-10-22,,0.0,0.0,0.0,22755596.0,4321712.0,1088041.0459362515,949613.1499999999,4066703.4199999995,10510537.94,4644002.57,6770415.65,929664.27,1603321.13,813236.41,4727204.83,4147962.18,5944222.529999999,73272233.12593625
NO 25/11-G-15 AY1,NO 25/11-G-15 AY,2009-03-16,2019-08-25,0.0,0.0,6512262.0,361524892.0,508910076.0,284301258.7229712,107463490.88,80729338.85,141435852.14999998,66461478.290000014,103015443.52000001,7412095.9399999995,0.0,0.0,486.71000000000004,287.15,0.0,1667766962.2129712
NO 25/11-G-16 AY1,NO 25/11-G-16 AY,2017-09-11,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,174762.49999999997,76345413.25,55116856.04,129883801.42,49932762.99,87136118.87,398589715.07
NO 25/11-G-16 Y1,NO 25/11-G-16 Y,2008-11-17,2017-05-16,0.0,0.0,17467665.0,373038373.0,379445047.0,25079470.034763478,56544675.25,31539509.139999997,41410951.160000004,23758217.23,48801059.28,488486.8,0.0,0.0,0.0,0.0,0.0,997573453.8947635
NO 25/11-G-17 CY2T4,NO 25/11-G-17 CY,2012-12-07,,0.0,0.0,0.0,0.0,77433426.0,319250420.7904824,189475351.2,73359872.00999999,165493669.58999997,85099006.83,139664035.12,70369627.52999999,98486965.85999998,36425262.72999999,58503694.82000001,38831305.44,36377831.769999996,1388770469.6904824
NO 25/11-G-17 T2,NO 25/11-G-17,2004-02-21,2012-05-11,12179297.0,40871342.0,58303715.0,54440425.0,4122716.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169917495.0
NO 25/11-G-18,NO 25/11-G-18,2003-12-11,2016-12-02,19878912.0,56044821.0,97048831.0,123232838.0,72587334.0,5513833.16448304,1609.96,0.0,640560.63,0.0,156590.7,0.0,0.0,0.0,0.0,0.0,0.0,375105330.45448303
NO 25/11-G-18 AY1,NO 25/11-G-18 AY,2017-02-15,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3233651.56,31056243.950000003,132862494.55999999,59758103.269999996,146329970.46999997,68348489.34000002,80448872.58,522037825.73
NO 25/11-G-19,NO 25/11-G-19,2004-02-24,2014-03-13,10993424.0,33881192.0,144290059.0,163432148.0,41785590.0,244.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394382657.01
NO 25/11-G-19 EY1,NO 25/11-G-19 EY,2014-09-13,,0.0,0.0,0.0,0.0,0.0,12055.02,2824730.4600000004,44118608.67,117800262.58000001,88587562.80000001,153490869.57,81696251.53999999,107604660.97,43551967.82,81791935.87,22168699.13,56223178.0,799870782.4300001
NO 25/11-G-20 AT2,NO 25/11-G-20 A,2004-01-10,2004-04-24,19262730.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19262730.0
NO 25/11-G-21,NO 25/11-G-21,2004-01-19,2010-11-24,11186206.0,46560148.0,47570049.0,38528997.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,143845400.0
NO 25/11-G-21 BY1T4,NO 25/11-G-21 BY,2012-06-21,,0.0,0.0,0.0,0.0,117718631.0,272944529.07752323,149825861.14999998,72504744.3,122897156.8,56339564.73,96796648.07,46260390.31,67519695.39,26797252.719999995,47316540.92,28302113.12,31660739.630000003,1136883867.217523
NO 25/11-G-22,NO 25/11-G-22,2003-09-23,2015-12-16,91322089.0,49767925.0,59959252.0,25475447.0,40610904.0,30735814.003856093,25312445.97,18188517.060000002,5098226.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,346470620.9838561
NO 25/11-G-22 BY 1,NO 25/11-G-22 BY,2016-03-21,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5145791.469999999,18064460.409999996,90100532.43,43218914.57,64933684.06,25469017.639999997,39331373.989999995,19225608.330000002,30250161.75,335739544.65
NO 25/11-G-24 A,NO 25/11-G-24 A,2003-10-28,2003-11-07,226501.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,226501.0
NO 25/11-G-25 AY1,NO 25/11-G-25 AY,2015-12-29,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3773687.4,1003904.6000000001,2158968.87,2537794.08,34034385.61,50435748.739999995,131825934.46000001,68742046.92,57192498.17,351704968.85
NO 25/11-G-25 T2,NO 25/11-G-25,2004-02-10,2015-09-14,12962034.0,48529509.0,114664103.0,93705604.0,82631831.0,41351577.915642485,252745.21000000002,69180.76,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,394166584.88564247
NO 25/11-G-26,NO 25/11-G-26,2003-11-12,,91708817.0,46211242.0,49516073.0,96631752.0,158453358.0,115466658.42869094,66557445.28,37080598.07,66296114.989999995,35632199.64,55873501.769999996,28086740.08,60820449.260000005,23370564.119999997,37057208.0,16995905.4,24567397.78,1010326024.8186909
