map type,name,attribute,interval,minimum value,maximum value,lower_limit,upper_limit,file_path
results,topupperreek,amplitude_rms,2003-01-01-2003-01-01,5.448819720997748e-06,0.03438393398632146,,,/private/ashska/development/webviz-subsurface-testdata/reek_history_match/realization-5/iter-3/share/results/maps/topupperreek--amplitude_rms--20030101_20000101.gri
results,baselowerreek,timeshift,2003-01-01-2003-01-01,-0.8222100037652782,1.4137533132207596,,,/private/ashska/development/webviz-subsurface-testdata/reek_history_match/realization-5/iter-3/share/results/maps/baselowerreek--timeshift--20030101_20000101.gri
results,upperreek,average_sgas,2003-01-01-2003-01-01,-2.1719870346714742e-07,2.3788601538399234e-05,,,/private/ashska/development/webviz-subsurface-testdata/reek_history_match/realization-5/iter-3/share/results/maps/upperreek--average_sgas--20030101_20000101.gri
results,upperreek,average_soil,2003-01-01-2003-01-01,-0.5713239312171936,0.20818932354450226,,,/private/ashska/development/webviz-subsurface-testdata/reek_history_match/realization-5/iter-3/share/results/maps/upperreek--average_soil--20030101_20000101.gri
results,midreek,average_soil,2003-01-01-2003-01-01,-0.5725173950195312,0.3433055579662323,,,/private/ashska/development/webviz-subsurface-testdata/reek_history_match/realization-5/iter-3/share/results/maps/midreek--average_soil--20030101_20000101.gri
results,lowerreek,oilthickness,2003-01-01-2003-01-01,-2.4873111248016357,0.824445366859436,,,/private/ashska/development/webviz-subsurface-testdata/reek_history_match/realization-5/iter-3/share/results/maps/lowerreek--oilthickness--20030101_20000101.gri
results,topupperreek,amplitude_max,2003-01-01-2003-01-01,-0.0007065054636191025,0.04255673422679682,,,/private/ashska/development/webviz-subsurface-testdata/reek_history_match/realization-5/iter-3/share/results/maps/topupperreek--amplitude_max--20030101_20000101.gri
results,baselowerreek,timeshift,2001-06-01-2001-06-01,0.0,0.0,,,/private/ashska/development/webviz-subsurface-testdata/reek_history_match/realization-5/iter-3/share/results/maps/baselowerreek--timeshift--20010601_20000101.gri
results,all,average_soil,2003-01-01-2003-01-01,-0.3518142104148865,0.28844863176345825,,,/private/ashska/development/webviz-subsurface-testdata/reek_history_match/realization-5/iter-3/share/results/maps/all--average_soil--20030101_20000101.gri
results,baselowerreek,amplitude_min,2003-01-01-2003-01-01,-0.05025618618491182,0.0072837547107885885,,,/private/ashska/development/webviz-subsurface-testdata/reek_history_match/realization-5/iter-2/share/results/maps/baselowerreek--amplitude_min--20030101_20000101.gri
